EDGE_ID,FROM_ID,TO_ID,NAME,PRIORITY,TYPE
-116751924#0,1653894149,1315430035,,2,highway.service
-116751924#1,1653894185,1653894149,,2,highway.service
-116751924#2,1653894148,1653894185,,2,highway.service
-116751924#3,1315429987,1653894148,,2,highway.service
-116771691#0,62602961,1315585975,Eureka Road,7,highway.secondary
-116771691#1,62602959,62602961,Eureka Road,7,highway.secondary
-116771708,1315585555,62915364,,2,highway.service
-116771709,1315585729,1315585846,,2,highway.service
-116771723#0,62662432,62939894,Van Alstyne Boulevard,4,highway.residential
-116771723#1,62855773,62662432,Van Alstyne Boulevard,4,highway.residential
-116771723#2,62602857,62855773,Van Alstyne Boulevard,4,highway.residential
-116771724#0,3738244377,590841438,,2,highway.service
-116771724#1,3738244375,3738244377,,2,highway.service
-116771724#2,62855779,3738244375,,2,highway.service
-116771745#0,1595639407,62602961,,2,highway.service
-116771745#1,1315585735,1595639407,,2,highway.service
-116771745#2,1595639425,1315585735,,2,highway.service
-116771745#3,1595639430,1595639425,,2,highway.service
-116771745#4,1315585975,1595639430,,2,highway.service
-116771765#0,1599403326,62738192,Oak Street,5,highway.unclassified
-116771765#1,62738196,1599403326,Oak Street,5,highway.unclassified
-116771765#2,62738200,62738196,Oak Street,5,highway.unclassified
-116771779#0,1315585323,cluster_1315585701_3738244369,,2,highway.service
-116771779#1,1315585300,1315585323,,2,highway.service
-116771779#2,1315585434,1315585300,,2,highway.service
-116771779#3,62738196,1315585434,,2,highway.service
-116771782#0,1599440500,62738200,Oak Street,6,highway.tertiary
-116771782#1,62738206,1599440500,Oak Street,6,highway.tertiary
-116771782#2,1611253277,62738206,Oak Street,6,highway.tertiary
-116771782#3,62738208,1611253277,Oak Street,6,highway.tertiary
-116884210#0,cluster_1656970448_4679979024,62914330,Ludington Street,4,highway.residential
-116884210#2,62786126,cluster_1656970448_4679979024,Ludington Street,4,highway.residential
-120203013#0,1348330732,1348331226,,2,highway.service
-120203013#1,1348330829,1348330732,,2,highway.service
-120203013#2,1348330796,1348330829,,2,highway.service
-120203020,1348331226,1348330543,,2,highway.service
-120203025#0,1655330365,1348330387,,2,highway.service
-120203025#1,1348330732,1655330365,,2,highway.service
-120203026,1348330779,1348330796,,2,highway.service
-120203050#0,1348330475,1348330734,,2,highway.service
-120203050#1,1655330365,1348330475,,2,highway.service
-120446871#0,1350502112,1350502109,,2,highway.service
-120446871#1,1350502092,1350502112,,2,highway.service
-120446871#2,1350502043,1350502092,,2,highway.service
-120446871#3,1350502134,1350502043,,2,highway.service
-120446873,62602389,62602394,Eureka Road,7,highway.secondary
-120446876#0,62838459,62838457,Riverbank Street,4,highway.residential
-120446876#1,62838461,62838459,Riverbank Street,4,highway.residential
-120446876#2,62596991,62838461,Riverbank Street,4,highway.residential
-120451599#0,3738244346,1350585527,,2,highway.service
-120451599#1,3738244347,3738244346,,2,highway.service
-120451599#2,3738244349,3738244347,,2,highway.service
-120451599#3,3738244351,3738244349,,2,highway.service
-120451599#4,3738244353,3738244351,,2,highway.service
-120451599#5,1350585542,3738244353,,2,highway.service
-120451600#0,62681061,62898682,Biddle Avenue,7,highway.secondary
-120451600#1,62681058,62681061,Biddle Avenue,7,highway.secondary
-120451600#10,62666498,62873273,Biddle Avenue,7,highway.secondary
-120451600#11,62898696,62666498,Biddle Avenue,7,highway.secondary
-120451600#12,1351562700,62898696,Biddle Avenue,7,highway.secondary
-120451600#2,62729835,62681058,Biddle Avenue,7,highway.secondary
-120451600#3,62736750,62729835,Biddle Avenue,7,highway.secondary
-120451600#4,62805397,62736750,Biddle Avenue,7,highway.secondary
-120451600#5,62791112,62805397,Biddle Avenue,7,highway.secondary
-120451600#6,62798984,62791112,Biddle Avenue,7,highway.secondary
-120451600#7,62898689,62798984,Biddle Avenue,7,highway.secondary
-120451600#8,62898692,62898689,Biddle Avenue,7,highway.secondary
-120451600#9,62873273,62898692,Biddle Avenue,7,highway.secondary
-120451602#1,1350585527,cluster_4705111234_62898608_62997255,Biddle Avenue,7,highway.secondary
-120451603#0,62855775,4961140645,Biddle Avenue,7,highway.secondary
-120451603#1,cluster_1599440485_62662434,62855775,Biddle Avenue,7,highway.secondary
-120451603#2,62773644,cluster_1599440485_62662434,Biddle Avenue,7,highway.secondary
-120451603#3,62738200,62773644,Biddle Avenue,7,highway.secondary
-120451604#0,5698809855,62898662,Biddle Avenue,7,highway.secondary
-120451604#1,62898673,5698809855,Biddle Avenue,7,highway.secondary
-120451604#2,62786927,62898673,Biddle Avenue,7,highway.secondary
-120451604#3,62898678,62786927,Biddle Avenue,7,highway.secondary
-120451604#4,62898682,62898678,Biddle Avenue,7,highway.secondary
-120451605#0,62898613,1350585542,Biddle Avenue,7,highway.secondary
-120451605#1,1599461877,62898613,Biddle Avenue,7,highway.secondary
-120451605#2,1279569297,1599461877,Biddle Avenue,7,highway.secondary
-120451605#3,1279569283,1279569297,Biddle Avenue,7,highway.secondary
-120451605#4,62898618,1279569283,Biddle Avenue,7,highway.secondary
-120451605#5,4956550988,62898618,Biddle Avenue,7,highway.secondary
-120451608#0,5879560253,62656552,7th Street,2,highway.service
-120451608#1,5879560512,5879560253,7th Street,2,highway.service
-120451608#2,62838395,5879560512,7th Street,2,highway.service
-120451608#3,5879560518,62838395,7th Street,2,highway.service
-120451608#4,5879560502,5879560518,7th Street,2,highway.service
-120451608#5,cluster_5879560208_5879560260,5879560502,7th Street,2,highway.service
-120451608#7,62858577,cluster_5879560208_5879560260,7th Street,2,highway.service
-120451609,1350585542,1350585527,Biddle Avenue,7,highway.secondary
-120458232,cluster_2419006378_62695551,62695548,Moran Avenue,6,highway.tertiary
-120458236#0,62785121,1794763830,Harrison Boulevard,6,highway.tertiary
-120458236#1,62943806,62785121,Harrison Boulevard,6,highway.tertiary
-120458236#2,62943810,62943806,Harrison Boulevard,6,highway.tertiary
-120458236#3,533761562,62943810,Harrison Boulevard,6,highway.tertiary
-120564502,1351562688,4217641840,West Jefferson Avenue,7,highway.secondary
-120564503,1351562671,1351562688,West Jefferson Avenue,7,highway.secondary
-120564504,1351562700,1351562671,Biddle Avenue,7,highway.secondary
-120567137#0,1348331132,4956687722,Eureka Road,7,highway.secondary
-120567137#1,1348330779,1348331132,Eureka Road,7,highway.secondary
-120567137#10,1793512575,1348331244,Eureka Road,7,highway.secondary
-120567137#11,cluster_1348331193_5056212151,1793512575,Eureka Road,7,highway.secondary
-120567137#2,62602400,1348330779,Eureka Road,7,highway.secondary
-120567137#3,1793543534,62602400,Eureka Road,7,highway.secondary
-120567137#4,1793536927,1793543534,Eureka Road,7,highway.secondary
-120567137#5,1793536932,1793536927,Eureka Road,7,highway.secondary
-120567137#6,1793536937,1793536932,Eureka Road,7,highway.secondary
-120567137#7,1793536926,1793536937,Eureka Road,7,highway.secondary
-120567137#8,62602398,1793536926,Eureka Road,7,highway.secondary
-120567137#9,1348331244,62602398,Eureka Road,7,highway.secondary
-120680166,1352537138,1352537111,,2,highway.service
-120680187#0,1352537102,590594431,,2,highway.service
-120680187#1,1352537103,1352537102,,2,highway.service
