JUNCT_ID,X,Y,TYPE
1611100188,4075.82,11633.17,priority
1611100202,4104.10,11602.21,right_before_left
1611100204,4123.31,11552.49,priority
1611100217,4104.77,11553.18,priority
1611100233,4123.25,11542.96,right_before_left
1611100266,4161.83,11631.86,priority
1611100297,4179.67,11487.02,priority
1611100325,4104.20,11595.16,priority
1611146846,4179.63,11501.43,priority
1611146863,4121.66,11402.96,right_before_left
1611146903,4286.37,11502.25,priority
1611146923,4159.98,10925.66,priority
1611146928,4120.63,11179.89,priority
1611146933,4341.06,11503.72,priority
1611146954,4159.57,11402.82,priority
1611146964,4242.21,11401.79,priority
1611197355,4194.57,10873.46,priority
1611197356,4098.06,10759.89,right_before_left
1611197370,4135.65,10874.62,priority
1611197372,4126.14,10793.18,priority
1611197376,4191.85,10645.36,priority
1611197377,4143.98,10743.25,right_before_left
1611197382,4143.94,10760.05,right_before_left
1611197386,4098.22,10776.01,right_before_left
1611197388,4098.02,10863.46,priority
1611197389,4185.99,10793.86,priority
1611197390,4097.55,10705.36,right_before_left
1611197393,4098.61,10839.02,priority
1611197394,4097.91,10743.77,right_before_left
1611197403,4185.49,10774.44,priority
1611197404,4097.37,10686.59,right_before_left
1611197411,4143.86,10793.61,right_before_left
1611197420,4097.74,10725.23,right_before_left
1611197422,4074.41,10809.93,priority
1611197423,4073.64,10705.09,priority
1611197424,4144.12,10686.28,right_before_left
1611197426,4074.44,10779.69,priority
1611197431,4144.22,10646.28,priority
1611197432,4143.90,10775.05,right_before_left
1611197434,4144.02,10725.15,right_before_left
1611197436,4135.40,10861.82,right_before_left
1611197444,4144.17,10665.09,right_before_left
1611197445,4144.07,10706.37,right_before_left
1611197447,4143.81,10810.62,priority
1611200989,4075.48,10514.48,priority
1611201006,4094.63,10631.02,priority
1611201008,4068.63,10595.65,priority
1611201010,4083.68,10514.53,priority
1611201015,4083.86,10539.04,priority
1611201029,4118.30,10646.68,priority
1611201034,4094.69,10608.98,right_before_left
1611201044,4114.34,10630.96,right_before_left
1611201063,4075.68,10539.65,right_before_left
1611214096,5987.97,12820.44,priority
1611220638,6466.32,11782.26,right_before_left
1611220642,6466.65,11800.71,priority
1611220669,6473.47,11749.85,priority
1611236950,6502.10,11631.80,priority
1611252979,6171.36,11858.94,priority
1611252983,6557.64,11865.60,priority
1611252989,5121.09,11979.17,priority
1611253026,5909.27,11977.50,priority
1611253027,6557.16,11892.80,priority
1611253047,6433.45,11858.95,priority
1611253049,5252.21,11979.14,priority
1611253055,5415.15,11978.77,priority
1611253073,6171.50,11977.49,priority
1611253077,6628.92,12038.59,priority
1611253089,6040.30,11858.94,priority
1611253095,5588.20,11966.29,priority
1611253126,6492.12,11865.28,right_before_left
1611253128,5326.28,11978.80,priority
1611253139,6040.41,11977.48,priority
1611253157,6564.82,11978.38,priority
1611253164,6303.79,11859.12,priority
1611253171,6491.56,11902.07,priority
1611253175,6491.69,11893.47,right_before_left
1611253183,6565.52,11892.72,priority
1611253185,5503.94,11967.02,priority
1611253193,5781.21,11977.43,priority
1611253195,4990.15,11980.29,priority
1611253258,5700.68,12297.72,priority
1611253266,5909.32,11859.83,priority
1611253275,5503.92,11978.06,priority
1611253277,6491.33,11916.61,priority
1611264973,4196.35,11871.82,priority
1611265013,4178.71,11871.83,priority
1611272181,4095.03,9847.31,priority
1611272198,4828.38,9861.69,priority
1611272221,4071.43,9807.43,priority
1611272233,4576.46,9861.48,priority
1611272243,4097.96,9825.59,right_before_left
1611272256,4209.33,9890.72,dead_end
1611272271,4660.56,9861.53,priority
1611272274,4156.98,9864.22,priority
1611272277,4744.35,9860.06,priority
1611272287,4398.08,9877.07,priority
1611272297,4071.31,9823.58,priority
1611272316,4118.49,10246.57,priority
1611272318,4116.55,9864.16,priority
1611272324,4117.20,10048.39,priority
1611272326,4326.37,9846.64,priority
1611272335,5213.95,9903.58,priority
1611272338,5120.05,9852.94,rail_crossing
1611272341,4991.35,9861.89,priority
1611272359,4212.13,9877.84,right_before_left
1611272362,4403.88,9863.22,priority
1611272364,4215.93,9878.84,priority
1611272390,5221.21,9892.24,dead_end
1611272392,4208.71,9863.79,priority
1611272416,4326.21,9863.46,priority
1611272432,4325.98,10100.61,dead_end
